full_address,lon,lat
"242 Causewayside, Sciennes, Edinburgh, EH9 1UU",-3.1794181,55.9347081
"26 Craigmillar Park, Mayfield, Edinburgh, EH16 5PS",-3.1694339,55.9286549
"3f1, 232 Easter Road, Leith, Edinburgh, EH6 8LE",-3.1707197,55.9629038
"3f2, 121 Dalkeith Road, Prestonfield, Edinburgh, EH16 5AJ",-3.1691857,55.9356708
"Flat 3, 2 Chessel's Court, Old Town, Edinburgh, EH8 8AD",-3.1829027,55.950271
"14 Craigentinny Crescent, Craigentinny, Edinburgh, EH7 6QB",-3.1367188,55.9572652
"1f2, 30 Morrison Street, West End, Edinburgh, EH3 8BJ",-3.2071032,55.9457772
"1f2, 7 Strathfillan Road, Marchmont, Edinburgh, EH9 2AG",-3.1984117,55.9344038
"1f2, 74 Montpelier Park, Bruntsfield, Edinburgh, EH10 4NG",-3.2124102,55.9375413
"2f1, 56 Elm Row, Broughton, Edinburgh, EH7 4AQ",-3.1818302,55.9602434
"Flat 3, 59 Rose Street, New Town, Edinburgh, EH2 2NH",-3.1989757,55.9524809
"Flat 41, 3 Simpson Loan, Southside, Edinburgh, EH3 9GZ",-3.1964618,55.9430299
"13 Damside, Dean, Edinburgh, EH4 3BB",-3.2194245,55.9521289
"1f, 42 Melville Street, New Town, Edinburgh, EH3 7HA",-3.2132453,55.9497756
"1f1, 163 Morrison Street, West End, Edinburgh, EH3 8AG",-3.2126772,55.9460449
"2f, 12 Chester Street, New Town, Edinburgh, EH3 7RA",-3.2157731,55.9499442
"2f1, 108 Rose Street, New Town, Edinburgh, EH2 3JF",-3.2004685999999998,55.9521387
"2f2, 38 Harrison Gardens, Polwarth, Edinburgh, EH11 1SG",-3.2283479,55.9341762
"3f2, 2 Spottiswoode Street, Marchmont, Edinburgh, EH9 1ER",-3.198072,55.9392041
"7 Porteous' Pend, Old Town, Edinburgh, EH1 2HP",-3.1970191,55.9467906
"Flat 11, 6 Commercial Wharf, North Leith, Edinburgh, EH6 6LF",-3.171027549999998,55.97622685
