id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13204845,Cozy double bedroom near Haymarket station,17793253,Maria,,Dalry and Fountainbridge,55.94329,-3.21682,Private room,,1,263,2024-12-08,2.46,1,0,34,
13221338,Double bedroom for 1 person,74174673,D,,Stenhouse and Saughton Mains,55.93407,-3.26344,Private room,37,5,66,2025-03-03,0.63,1,166,15,
13254664,Modern Quiet Royal Mile Apartment + Free Parking,45531153,Caroline,,"Canongate, Southside and Dumbiedykes",55.95299,-3.1815,Entire home/apt,143,2,722,2025-02-22,6.91,3,42,92,
13271341,Rm4-Best Area-Classic Flat-15min Walk to Centre,19446059,Paul,,Leith (Albert Street),55.96141,-3.17811,Private room,44,2,262,2025-02-23,2.47,6,70,61,
13273495,Peaceful and stylish Bruntsfield flat,27179857,Janet,,Bruntsfield,55.93542,-3.20816,Entire home/apt,94,2,517,2025-02-07,4.95,1,35,62,EH-70558-F
13273588,Rm2-Best Area-Classic Flat-15min Walk to Centre,19446059,Paul,,Leith (Albert Street),55.96218,-3.17924,Private room,32,2,310,2025-02-23,2.93,6,0,63,
13273704,Wonderful home in Edinburgh New Town,556350,Steinvor,,New Town East and Gayfield,55.9582,-3.19421,Entire home/apt,216,3,81,2025-01-05,0.78,1,10,22,Short Term Let Licence Number EH-71002-P
13273780,Rm5-Best Area-Classic Flat-15min Walk to Centre,19446059,Paul,,Leith (Albert Street),55.96286,-3.17841,Private room,31,2,240,2025-02-22,2.27,6,0,46,
13275892,Central  3 Bedrm Apartment,74819036,Nicholas,,Broughton South,55.96188,-3.18503,Entire home/apt,,2,16,2024-07-29,0.15,2,0,1,
13279143,City Centre Kingsize Bedroom and Private Bathroom,74856492,Nicola,,Canonmills and New Town North,55.96057,-3.19526,Private room,113,3,77,2025-01-02,0.73,2,80,14,EH-71229-F
13280603,Flat in South Edinburgh close to City Centre.,24978014,Valerie,,"Blackford, West Mains and Mayfield Road",55.92479,-3.18613,Entire home/apt,75,2,314,2025-02-23,2.97,1,143,19,
13308472,"Superb canal side apartment, close to centre",43109987,Alexander,,Merchiston and Greenhill,55.93748,-3.21591,Entire home/apt,242,3,162,2025-01-02,1.55,1,47,23,
13315322,Castle Apartment Grassmarket Licence No EH-69794-F,74342710,Amanda Frances,,Meadows and Southside,55.94633,-3.19636,Entire home/apt,122,1,840,2025-02-21,7.92,1,139,86,EH-69794-F
13315564,The Murray's,66621785,Elaine,,Gilmerton South and the Murrays,55.89538,-3.1498,Private room,27,2,192,2025-03-03,1.81,2,85,62,
13322340,"Edinburgh City Centre  2-Bed, Sleeps 4",28298591,Alison,,Deans Village,55.95276,-3.20825,Entire home/apt,,3,35,2018-01-01,0.35,1,0,0,
13326398,Edinburgh Castle a 20 minute walk.,5361963,Gordon,,Deans Village,55.94904,-3.22034,Private room,67,2,161,2025-02-16,1.53,1,0,36,
13343080,City centre room available,4146696,Callum,,Hillside and Calton Hill,55.95876853697739,-3.175382544010709,Private room,105,2,45,2025-01-02,2.32,1,326,28,
13344351,Cosy double bedroom with private external bathroom,69085438,Ege & Roberto,,Easter Road and Hawkhill Avenue,55.96150575171441,-3.164363584448172,Private room,,2,106,2024-11-15,1.00,1,0,20,
13350277,Very comfortable large Double Bedroom,10273399,David,,Great Junction Street,55.97353,-3.17617,Private room,41,2,48,2025-01-29,1.22,3,123,33,211244/230/04050
13353228,Double room in relaxed home,36365310,Catherine,,Comely Bank,55.95876,-3.22167,Private room,54,3,271,2025-02-02,2.58,1,0,23,
13374340,Large ensuite room in central Edinburgh's New Town,75962674,Victoria,,Hillside and Calton Hill,55.95711,-3.17717,Private room,124,2,73,2025-01-02,0.70,1,31,32,EH-67718-F
13400481,cosy single room,41638717,Adam,,Newington and Dalkeith Road,55.94032,-3.17803,Private room,70,3,138,2025-02-01,1.32,2,224,17,
13413535,Sunny King Size Room at Edinburgh's seaside,40459436,Suzanna,,Portobello,55.95112,-3.1172,Private room,51,1,349,2025-02-09,3.35,2,195,68,EH-70312-P
13414289,Fabulous Flat on Royal Mile,53973647,Ms Katherine Janita,,"Old Town, Princes Street and Leith Street",55.95009,-3.18898,Entire home/apt,152,2,326,2025-02-24,3.07,1,0,70,101002078078
13438435,"Location, Location! Spacious Old Town Bank St Apt",224444157,Sue And Grant,,"Old Town, Princes Street and Leith Street",55.94993,-3.19301,Entire home/apt,,3,416,2025-02-27,4.41,16,9,60,100644994-001
13461673,✰ Spacious ✰ Contemporary ✰ Lift + Free Parking!,8579207,Tom & Izzy,,Broughton South,55.96338,-3.18879,Entire home/apt,83,1,715,2025-02-19,6.80,2,43,102,EH-68387-P
13478503,Clean double room for short stays (& Murrayfield),77154019,Fraser,,Gorgie West,55.93461,-3.23679,Private room,48,2,61,2025-02-16,0.64,1,49,28,
13489159,"Clean, quiet and classy. Comfort in the Capital",53081555,David,,Meadowbank and Abbeyhill North,55.95747,-3.16165,Private room,47,1,355,2025-02-27,3.34,1,156,50,EH-70403-F
13494126,Pleasant and comfy double room nr zoo and airport,46967189,Catherine,,East Craigs South,55.94895,-3.30101,Private room,41,3,375,2025-02-24,3.54,1,25,56,
13501543,Family-friendly 3-bedroom self-contained flat,77446947,Rebecca And Sandy,,Pilrig,55.96689,-3.17518,Entire home/apt,164,1,419,2025-02-19,3.97,1,35,36,
13506588,Modern 2 bed apartment - central,77499633,Marco,,Stenhouse and Saughton Mains,55.93087,-3.26335,Entire home/apt,160,3,69,2025-01-03,0.66,1,296,16,
13511164,Modern apartment in central Edinburgh,76188225,James,,Meadows and Southside,55.9441,-3.19478,Entire home/apt,213,2,222,2025-02-10,2.10,1,128,28,
13524437,Double Room at Ashburnham House,69266529,Agnes,,Queensferry East,55.98663,-3.38724,Private room,48,1,518,2025-03-04,4.89,1,22,49,
13560297,Luxury bedroom in Victorian house & free parking,24217323,Anouk,,"Blackford, West Mains and Mayfield Road",55.92514,-3.16671,Private room,129,1,65,2024-10-27,0.63,4,352,20,
13586705,"Single, comfortable bedroom in lovely coloney flat",78454741,Paul,,Meadowbank and Abbeyhill North,55.95831,-3.17012,Private room,39,1,195,2025-03-04,1.84,1,145,40,
13594963,Bright Victorian King size bedroom,12965238,Juan,,Great Junction Street,55.97363,-3.17724,Private room,81,3,59,2024-09-22,0.56,2,114,15,
13603136,Double bedroom private en-suite with shower.,78679116,Leslie Alexander,,Western Harbour and Leith Docks,55.98522,-3.18892,Private room,70,1,663,2025-02-16,6.26,1,0,98,
13613491,The perfect home opposite Royal Botanical Gardens,78786693,Hiliory,,"Inverleith, Goldenacre and Warriston",55.96652,-3.2029,Entire home/apt,136,1,700,2024-12-03,6.71,2,274,2,
13616305,Walk Everywhere -Top Rated Flat on The Royal Mile.,20323803,Prayas,,"Old Town, Princes Street and Leith Street",55.94908,-3.18943,Entire home/apt,127,2,664,2025-02-23,6.70,2,121,89,EH-68524-F
13617880,Bright spacious comfortable 4 bedroom family house,1496500,Naomi,,Merchiston and Greenhill,55.92561,-3.21976,Entire home/apt,,3,2,2018-05-28,0.02,1,0,0,
13621384,"Bedroom, stylish & bright apartment",78896219,Lukasz,,Northfield and Piershill,55.95544,-3.14267,Private room,101,2,181,2024-12-31,1.74,1,218,15,EH-77050-F
13641736,Lovely Double-bed bedroom near city centre,79135500,Fran,,Hillside and Calton Hill,55.96094,-3.18117,Private room,170,7,17,2017-02-05,0.16,1,180,0,
13646331,"King Size Bed En-Suite in 3 bedroom flat, New Town",74109557,Beata,,Stockbridge,55.96023,-3.20558,Private room,134,2,95,2024-10-27,0.91,3,326,20,
13652039,Elegant en-suite w/private entrance,7169447,Emma,,New Town West,55.9575,-3.19982,Private room,96,1,565,2025-03-02,5.36,2,18,70,WH-67995-P
